strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved MI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved MI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved MI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved MI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved MI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved MI
partial_finetune,1,0.993963782696177,0.9968944099378882,0.9925681255161024,0.9934640522875816,0.9799196787148594,0.9818181818181818,0.9738562091503268,0.9618320610687024,0.8669201520912547,0.7301587301587301,0.6936936936936937,0.4406779661016949,0.8085106382978723,0.711340206185567,0.8369565217391305,0.3058823529411765,0.9781420765027322,0.9439024390243902,0.6718266253869969,0.9834123222748816,0.9801961012285392,0.9547397535831028,0.9123199623098668,0.9673543350989684
partial_finetune,2,0.9919678714859438,0.9891472868217054,0.9827727645611156,0.9811676082862524,0.979757085020243,0.9938650306748468,0.9741935483870968,0.9692307692307692,0.9003690036900369,0.8977272727272727,0.8243559718969555,0.7142857142857143,0.8652482269503546,0.8144329896907216,0.9565217391304348,0.5882352941176471,0.9781420765027322,1.0,0.7925696594427245,0.9881516587677726,0.9841685075378832,0.9715866230827256,0.9598364517431688,0.9879843880680236
partial_finetune,3,0.9879518072289156,0.97984496124031,0.9801652892561984,0.972922502334267,0.983739837398374,0.9634146341463414,0.9411764705882352,0.9068825910931174,0.8207171314741036,0.723404255319149,0.7518427518427518,0.7976190476190477,0.7304964539007093,0.7010309278350515,0.8315217391304348,0.788235294117647,0.9808743169398908,0.9439024390243902,0.7832817337461301,0.962085308056872,0.9854280510018216,0.9460900176012068,0.9235765244312828,0.9839698912740452
partial_finetune,4,0.9848942598187312,0.9861751152073732,0.9825726141078838,0.97856477166822,0.979757085020243,1.0,0.9559748427672956,0.9486166007905138,0.8796992481203008,0.8263473053892215,0.8578431372549019,0.9826589595375722,0.8297872340425532,0.711340206185567,0.9510869565217392,1.0,0.9781420765027322,0.997560975609756,0.848297213622291,0.9928909952606636,0.9835871797852964,0.9831531305003772,0.9576154260331136,0.9994703094507944
partial_finetune,5,0.984924623115578,0.986046511627907,0.9777411376751854,0.980355472404116,0.959349593495935,0.9411764705882352,0.9433962264150944,0.902439024390244,0.7642276422764228,0.7513812154696132,0.7587822014051522,0.8875,0.6666666666666666,0.7010309278350515,0.8804347826086957,0.8352941176470589,0.9699453551912568,0.9609756097560976,0.7492260061919505,0.990521327014218,0.958454443281789,0.9221775207442796,0.9237616099071208,0.9979648731530528
full_finetune,1,0.995959595959596,0.9984496124031008,0.9975349219391948,0.99812734082397,0.984,0.9876543209876544,0.986842105263158,0.9774436090225564,0.8970588235294118,0.8263473053892215,0.884318766066838,0.913978494623656,0.8652482269503546,0.711340206185567,0.9347826086956522,1.0,0.9754098360655736,0.997560975609756,0.8978328173374613,0.962085308056872,0.9716312056737588,0.9771687201408096,0.960829182931754,0.9888764984666852
full_finetune,2,0.998992950654582,1.0,0.99835255354201,0.999064546304958,0.9838709677419356,1.0,0.99009900990099,0.99625468164794,0.8698884758364313,0.7530864197530864,0.8520408163265306,0.8795811518324608,0.8297872340425532,0.6288659793814433,0.907608695652174,0.9882352941176472,0.9699453551912568,0.9902439024390244,0.8730650154798761,0.9478672985781992,0.968976475603612,0.9673874779984912,0.9534930677076324,0.9914691943127962
full_finetune,3,1.0,1.0,0.9991755976916736,0.999062792877226,0.991869918699187,0.9875,0.9806451612903224,0.9848484848484848,0.8985507246376812,0.8095238095238095,0.8756476683937824,0.9239130434782608,0.8794326241134752,0.7010309278350515,0.9184782608695652,1.0,0.9699453551912568,0.9926829268292684,0.8978328173374613,0.966824644549763,0.9692283842963996,0.9578576816696004,0.9585745053170012,0.9729021466406468
full_finetune,4,0.9969849246231156,1.0,0.9975267930750206,0.99625468164794,0.9959514170040484,0.9938650306748468,0.9838187702265372,0.9808429118773946,0.901818181818182,0.7928994082840237,0.8825065274151436,0.9090909090909092,0.8794326241134752,0.6907216494845361,0.9184782608695652,1.0,0.9726775956284152,0.9878048780487804,0.9071207430340558,0.9597156398104264,0.9731620354222378,0.9754840331908474,0.954401669134473,0.993894619459158
full_finetune,5,0.997983870967742,1.0,0.9967051070840196,0.9981308411214952,0.9879518072289156,1.0,0.9803921568627452,0.988593155893536,0.8782287822878229,0.8170731707317073,0.8759493670886076,0.9239130434782608,0.8439716312056738,0.6907216494845361,0.9402173913043478,1.0,0.9699453551912568,1.0,0.8823529411764706,0.966824644549763,0.9712048986551952,0.977495599698265,0.9532911562794454,0.9919152495121272
