rank,strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_Lateral-involved MI,val_f1_Lateral-involved MI,test_f1_Lateral-involved MI,test_sensitivity_Lateral-involved MI,test_specificity_Lateral-involved MI,test_auc_Lateral-involved MI
11,frozen_backbone,1,OK,,0.8298176575246521,0.815701716367107,0.7711668586565024,0.7869822485207101,0.7844055327835839,0.7869822485207101,0.7478436295219614,0.9659941718071494,0.5038447307176609,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_1,33924,513493,0.0660651654452933,0.8828125,0.9152542372881356,0.8296296296296296,0.7943262411347518,0.953551912568306,0.9771150641398286,0.831858407079646,0.8314606741573034,0.8352941176470589,0.7319587628865979,0.9951219512195122,0.9926326376665828,0.8237232289950577,0.8160919540229885,0.7981220657276995,0.9239130434782608,0.7770897832817337,0.9430441512989636,0.7808764940239044,0.7,0.6216216216216216,0.5411764705882353,0.9597156398104264,0.9511848341232229
12,no_pretrain,4,OK,,0.9902983996072536,0.990887889300682,0.7525655211757489,0.7593688362919132,0.7609762305796863,0.7593688362919132,0.7333797843169044,0.936558191443936,1.0793482025229248,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_4,513493,513493,1.0,0.9899396378269618,1.0,0.9010989010989012,0.8723404255319149,0.9754098360655736,0.9764174708367244,0.9907407407407408,0.9813664596273292,0.8022598870056498,0.7319587628865979,0.9780487804878047,0.964546140306764,0.9917491749174916,0.993421052631579,0.7055961070559611,0.7880434782608695,0.7461300309597523,0.8596042536007539,0.9887640449438202,0.9887640449438202,0.6013071895424836,0.5411764705882353,0.9478672985781992,0.9456649010315028
13,frozen_backbone,4,OK,,0.8251556515933217,0.8025558035859586,0.7514676262450661,0.7652859960552268,0.7625278502720454,0.7652859960552268,0.7269579700234138,0.9613710446985796,0.5218904913059588,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_4,33924,513493,0.0660651654452933,0.8825831702544031,0.8898678414096917,0.8058608058608059,0.7801418439716312,0.9398907103825136,0.9727744835871798,0.8315946348733234,0.7956989247311828,0.8421052631578947,0.7422680412371134,0.9951219512195122,0.9914005531807896,0.8138957816377171,0.7897727272727273,0.7663551401869159,0.8913043478260869,0.7523219814241486,0.927698882756764,0.7725490196078432,0.7348837209302326,0.5915492957746479,0.4941176470588235,0.9644549763033176,0.9536102592695844
14,no_pretrain,1,OK,,0.9939421008871796,0.9865944902351466,0.7440937231473557,0.7692307692307693,0.765884343226002,0.7692307692307693,0.7262442949847477,0.94574570092586,0.8522312173241459,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_1,513493,513493,1.0,0.9969788519637462,0.992063492063492,0.920754716981132,0.8652482269503546,0.994535519125683,0.9930046893772042,0.9937888198757764,0.9938650306748468,0.7379679144385026,0.711340206185567,0.948780487804878,0.9077948202162434,0.993388429752066,0.9866666666666668,0.7565011820330969,0.8695652173913043,0.7554179566563467,0.9236943060977252,0.9916123019571296,0.9737827715355806,0.5611510791366906,0.4588235294117647,0.9644549763033176,0.9584889880122666
15,partial_finetune,1,OK,,0.9942225926094374,0.9743565326880176,0.6828626355113434,0.7159763313609467,0.7064268343758333,0.7159763313609467,0.6656724297909367,0.9536525380551192,0.8271555902924999,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/partial_finetune/fold_1,449333,513493,0.8750518507555117,0.993963782696177,0.9799196787148594,0.8669201520912547,0.8085106382978723,0.9781420765027322,0.9801961012285392,0.9968944099378882,0.9818181818181818,0.7301587301587301,0.711340206185567,0.9439024390243902,0.9547397535831028,0.9925681255161024,0.9738562091503268,0.6936936936936937,0.8369565217391305,0.6718266253869969,0.9123199623098668,0.9934640522875816,0.9618320610687024,0.4406779661016949,0.3058823529411765,0.9834123222748816,0.9673543350989684
16,no_pretrain,2,OK,,0.9671341270245616,0.990928018323654,0.6139162661103915,0.6706114398422091,0.6523559057040088,0.6706114398422091,0.6139022972836768,0.9178849381214312,1.1765639455125647,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_2,513493,513493,1.0,0.9678068410462776,0.9919354838709676,0.8365019011406845,0.7801418439716312,0.9672131147540984,0.979304732007906,0.9690402476780186,1.0,0.776595744680851,0.7525773195876289,0.9560975609756096,0.9767161176766408,0.9654605263157896,0.9869281045751634,0.6651480637813212,0.7934782608695652,0.6625386996904025,0.8807544757033248,0.9662288930581614,0.9848484848484848,0.1774193548387097,0.1294117647058823,0.933649289099526,0.8347644270978534
17,frozen_backbone,2,OK,,0.8048045972369358,0.7285837410573511,0.6059649134510069,0.6785009861932939,0.6456571174701823,0.6785009861932939,0.6095424543640854,0.9268562368406478,0.6371792812319197,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_2,33924,513493,0.0660651654452933,0.8754789272030651,0.8095238095238095,0.6714285714285714,0.6666666666666666,0.8770491803278688,0.9362864783164748,0.8075801749271136,0.7731958762886598,0.8439306358381503,0.7525773195876289,0.9926829268292684,0.9957002765903948,0.798999165971643,0.7169811320754716,0.7433628318584071,0.9130434782608696,0.6904024767801857,0.9239466953829588,0.7371601208459214,0.6146341463414634,0.1651376146788991,0.1058823529411764,0.9644549763033176,0.8514914970727627
18,no_pretrain,3,OK,,0.9938803677612644,0.9946651582602208,0.5783039388572929,0.6607495069033531,0.6309713043305377,0.6607495069033531,0.5881907423125463,0.8986598325770746,1.4260965324717867,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/no_pretrain/fold_3,513493,513493,1.0,0.9949748743718592,0.9959514170040484,0.8825622775800712,0.8794326241134752,0.9562841530054644,0.9837422005193196,0.9938080495356038,1.0,0.7790697674418605,0.6907216494845361,0.9804878048780488,0.9670103092783504,0.9942291838417148,0.990228013029316,0.6515837104072398,0.782608695652174,0.6470588235294118,0.846395881006865,0.99250936329588,0.9924812030075189,0.0,0.0,0.919431279620853,0.7974909395037636
19,frozen_backbone,3,OK,,0.8157671721936766,0.8174648835541036,0.5721611373268137,0.6706114398422091,0.6245762607775545,0.6706114398422091,0.5943466821387186,0.8992938024751549,0.7022020863828339,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_3,33924,513493,0.0660651654452933,0.8821811100292113,0.9045643153526972,0.6996699669966997,0.75177304964539,0.8469945355191257,0.9264426617060032,0.8231797919762258,0.8461538461538461,0.8092485549132948,0.7216494845360825,0.9853658536585366,0.9782499371385466,0.79766860949209,0.8115942028985508,0.7397260273972602,0.8804347826086957,0.7151702786377709,0.9010970520931484,0.7600391772771793,0.7075471698113207,0.04,0.0235294117647058,0.9691943127962084,0.7913855589629215
20,frozen_backbone,5,OK,,0.8122831070879598,0.7404510345864705,0.5575265522434737,0.6528599605522682,0.6068035204681629,0.6528599605522682,0.5788296483894874,0.9167319208848764,0.6619286571263797,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_finetune_leadprior/20260615_033128/transfer_strategies/frozen_backbone/fold_5,33924,513493,0.0660651654452933,0.860236220472441,0.8558558558558559,0.6575342465753424,0.6808510638297872,0.8497267759562842,0.9211719567492151,0.8184523809523809,0.7623762376237624,0.8323699421965318,0.7422680412371134,0.9902439024390244,0.994141312547146,0.8107229894394801,0.7540983606557377,0.72,0.8804347826086957,0.6780185758513931,0.9080125185085476,0.7597208374875374,0.5894736842105263,0.0202020202020202,0.0117647058823529,0.9691943127962084,0.8436018957345971
